Temperature - (Celsius);Year;Statistics;Country;ISO3
0.53166;1951;Mar;Austria;AUT
5.32637;1951;Apr;Austria;AUT
9.61747;1951;May;Austria;AUT
13.5345;1951;Jun;Austria;AUT
15.1668;1951;Jul;Austria;AUT
16.007;1951;Aug;Austria;AUT
13.3895;1951;Sep;Austria;AUT
6.15103;1951;Oct;Austria;AUT
4.1719;1951;Nov;Austria;AUT
-0.6767;1951;Dec;Austria;AUT
-3.8619;1952;Jan;Austria;AUT
-3.4253;1952;Feb;Austria;AUT
0.04649;1952;Mar;Austria;AUT
8.29365;1952;Apr;Austria;AUT
9.6403;1952;May;Austria;AUT
13.9244;1952;Jun;Austria;AUT
17.1917;1952;Jul;Austria;AUT
16.6391;1952;Aug;Austria;AUT
9.24403;1952;Sep;Austria;AUT
5.93264;1952;Oct;Austria;AUT
-0.1159;1952;Nov;Austria;AUT
-3.1083;1952;Dec;Austria;AUT
-4.1931;1953;Jan;Austria;AUT
-2.7619;1953;Feb;Austria;AUT
2.10988;1953;Mar;Austria;AUT
6.7649;1953;Apr;Austria;AUT
10.0833;1953;May;Austria;AUT
13.4233;1953;Jun;Austria;AUT
15.9058;1953;Jul;Austria;AUT
14.2446;1953;Aug;Austria;AUT
12.775;1953;Sep;Austria;AUT
9.20126;1953;Oct;Austria;AUT
1.63198;1953;Nov;Austria;AUT
-0.837;1953;Dec;Austria;AUT
-7.0462;1954;Jan;Austria;AUT
-6.2702;1954;Feb;Austria;AUT
2.5662;1954;Mar;Austria;AUT
3.67979;1954;Apr;Austria;AUT
9.01114;1954;May;Austria;AUT
14.1963;1954;Jun;Austria;AUT
12.8459;1954;Jul;Austria;AUT
14.2584;1954;Aug;Austria;AUT
12.6848;1954;Sep;Austria;AUT
7.02133;1954;Oct;Austria;AUT
1.27762;1954;Nov;Austria;AUT
0.27256;1954;Dec;Austria;AUT
-3.1009;1955;Jan;Austria;AUT
-2.9212;1955;Feb;Austria;AUT
-1.116;1955;Mar;Austria;AUT
4.11593;1955;Apr;Austria;AUT
8.77007;1955;May;Austria;AUT
12.5315;1955;Jun;Austria;AUT
14.8724;1955;Jul;Austria;AUT
13.9535;1955;Aug;Austria;AUT
11.6679;1955;Sep;Austria;AUT
6.42637;1955;Oct;Austria;AUT
1.11374;1955;Nov;Austria;AUT
0.27018;1955;Dec;Austria;AUT
-2.1497;1956;Jan;Austria;AUT
-9.8119;1956;Feb;Austria;AUT
-0.2413;1956;Mar;Austria;AUT
4.25093;1956;Apr;Austria;AUT
10.0072;1956;May;Austria;AUT
11.4983;1956;Jun;Austria;AUT
15.4095;1956;Jul;Austria;AUT
14.4107;1956;Aug;Austria;AUT
13.0783;1956;Sep;Austria;AUT
6.42781;1956;Oct;Austria;AUT
-0.5382;1956;Nov;Austria;AUT
-2.004;1956;Dec;Austria;AUT
-3.7843;1957;Jan;Austria;AUT
0.89426;1957;Feb;Austria;AUT
4.21914;1957;Mar;Austria;AUT
5.26933;1957;Apr;Austria;AUT
7.37753;1957;May;Austria;AUT
15.0661;1957;Jun;Austria;AUT
15.4211;1957;Jul;Austria;AUT
13.7874;1957;Aug;Austria;AUT
10.7652;1957;Sep;Austria;AUT
7.27624;1957;Oct;Austria;AUT
2.96294;1957;Nov;Austria;AUT
-1.5957;1957;Dec;Austria;AUT
-3.572;1958;Jan;Austria;AUT
-0.1762;1958;Feb;Austria;AUT
-2.6663;1958;Mar;Austria;AUT
3.20622;1958;Apr;Austria;AUT
13.4581;1958;May;Austria;AUT
12.6055;1958;Jun;Austria;AUT
15.8196;1958;Jul;Austria;AUT
15.5582;1958;Aug;Austria;AUT
12.6828;1958;Sep;Austria;AUT
7.38303;1958;Oct;Austria;AUT
2.93053;1958;Nov;Austria;AUT
